Epoch 1/100 : 0% | Batch 50(2) : 0% | Loss 5530.0504296875
Epoch 1/100 : 0% | Batch 100(2) : 0% | Loss 1640.6432861328126
Epoch 1/100 : 0% | Batch 150(2) : 0% | Loss 1574.041962890625
Epoch 1/100 : 0% | Batch 200(2) : 0% | Loss 1420.7235986328126
Epoch 1/100 : 0% | Batch 250(2) : 0% | Loss 1393.2088635253906
Epoch 1/100 : 0% | Batch 300(2) : 0% | Loss 1237.5717578125
Epoch 1/100 : 0% | Batch 350(2) : 0% | Loss 1082.9021057128907
Epoch 1/100 : 0% | Batch 400(2) : 0% | Loss 1083.6608386230469
Epoch 1/100 : 0% | Batch 450(2) : 0% | Loss 1034.222314453125
Epoch 1/100 : 0% | Batch 500(2) : 0% | Loss 987.4677868652344
Epoch 1/100 : 0% | Batch 550(2) : 0% | Loss 874.2854418945312
Epoch 1/100 : 0% | Batch 600(2) : 0% | Loss 913.0467846679687
Epoch 1/100 : 0% | Batch 650(2) : 0% | Loss 828.1153405761719
Epoch 1/100 : 0% | Batch 700(2) : 1% | Loss 846.6389453125
Epoch 1/100 : 0% | Batch 750(2) : 1% | Loss 823.4393481445312
Epoch 1/100 : 0% | Batch 800(2) : 1% | Loss 785.18962890625
Epoch 1/100 : 0% | Batch 850(2) : 1% | Loss 795.5274298095703
Epoch 1/100 : 0% | Batch 900(2) : 1% | Loss 776.0644396972656
Epoch 1/100 : 0% | Batch 950(2) : 1% | Loss 717.2262353515625
Epoch 1/100 : 0% | Batch 1000(2) : 1% | Loss 762.1130285644531
Epoch 1/100 : 0% | Batch 1050(2) : 1% | Loss 749.7206854248047
Epoch 1/100 : 0% | Batch 1100(2) : 1% | Loss 734.6479345703125
Epoch 1/100 : 0% | Batch 1150(2) : 1% | Loss 704.0679339599609
Epoch 1/100 : 0% | Batch 1200(2) : 1% | Loss 748.6725708007813
Epoch 1/100 : 0% | Batch 1250(2) : 1% | Loss 682.7798376464843
Epoch 1/100 : 0% | Batch 1300(2) : 1% | Loss 672.4162823486328
Epoch 1/100 : 0% | Batch 1350(2) : 2% | Loss 688.7533624267578
Epoch 1/100 : 0% | Batch 1400(2) : 2% | Loss 665.3026452636718
Epoch 1/100 : 0% | Batch 1450(2) : 2% | Loss 648.293046875
Epoch 1/100 : 0% | Batch 1500(2) : 2% | Loss 619.6926208496094
Epoch 1/100 : 0% | Batch 1550(2) : 2% | Loss 593.8007037353516
Epoch 1/100 : 0% | Batch 1600(2) : 2% | Loss 569.2799279785156
Epoch 1/100 : 0% | Batch 1650(2) : 2% | Loss 630.2443603515625
Epoch 1/100 : 0% | Batch 1700(2) : 2% | Loss 634.6815325927735
Epoch 1/100 : 0% | Batch 1750(2) : 2% | Loss 573.4744427490234
Epoch 1/100 : 0% | Batch 1800(2) : 2% | Loss 565.3579461669922
Epoch 1/100 : 0% | Batch 1850(2) : 2% | Loss 655.7673016357422
Epoch 1/100 : 0% | Batch 1900(2) : 2% | Loss 567.7784509277344
Epoch 1/100 : 0% | Batch 1950(2) : 2% | Loss 546.1597595214844
Epoch 1/100 : 0% | Batch 2000(2) : 3% | Loss 573.7604791259765
Epoch 1/100 : 0% | Batch 2050(2) : 3% | Loss 608.9344561767579
Epoch 1/100 : 0% | Batch 2100(2) : 3% | Loss 573.8243530273437
Epoch 1/100 : 0% | Batch 2150(2) : 3% | Loss 603.0260980224609
Epoch 1/100 : 0% | Batch 2200(2) : 3% | Loss 558.1833856201172
Epoch 1/100 : 0% | Batch 2250(2) : 3% | Loss 536.5765698242187
Epoch 1/100 : 0% | Batch 2300(2) : 3% | Loss 565.9461566162109
Epoch 1/100 : 0% | Batch 2350(2) : 3% | Loss 526.6080462646485
Epoch 1/100 : 0% | Batch 2400(2) : 3% | Loss 551.6033892822265
Epoch 1/100 : 0% | Batch 2450(2) : 3% | Loss 551.9201281738282
Epoch 1/100 : 0% | Batch 2500(2) : 3% | Loss 564.2881237792968
Epoch 1/100 : 0% | Batch 2550(2) : 3% | Loss 519.0217803955078
Epoch 1/100 : 0% | Batch 2600(2) : 4% | Loss 541.3051171875
Epoch 1/100 : 0% | Batch 2650(2) : 4% | Loss 561.629970703125
Epoch 1/100 : 0% | Batch 2700(2) : 4% | Loss 506.26375671386717
Epoch 1/100 : 0% | Batch 2750(2) : 4% | Loss 524.1203314208984
Epoch 1/100 : 0% | Batch 2800(2) : 4% | Loss 510.7495849609375
Epoch 1/100 : 0% | Batch 2850(2) : 4% | Loss 476.2644024658203
Epoch 1/100 : 0% | Batch 2900(2) : 4% | Loss 482.493662109375
Epoch 1/100 : 0% | Batch 2950(2) : 4% | Loss 496.66651123046876
Epoch 1/100 : 0% | Batch 3000(2) : 4% | Loss 472.61737548828125
Epoch 1/100 : 0% | Batch 3050(2) : 4% | Loss 519.1468963623047
Epoch 1/100 : 0% | Batch 3100(2) : 4% | Loss 502.4327380371094
Epoch 1/100 : 0% | Batch 3150(2) : 4% | Loss 508.62074951171877
Epoch 1/100 : 0% | Batch 3200(2) : 4% | Loss 499.3090808105469
Epoch 1/100 : 0% | Batch 3250(2) : 5% | Loss 469.38001953125
Epoch 1/100 : 0% | Batch 3300(2) : 5% | Loss 540.1662915039062
Epoch 1/100 : 0% | Batch 3350(2) : 5% | Loss 519.4523474121094
Epoch 1/100 : 0% | Batch 3400(2) : 5% | Loss 465.1535711669922
Epoch 1/100 : 0% | Batch 3450(2) : 5% | Loss 491.27906188964846
Epoch 1/100 : 0% | Batch 3500(2) : 5% | Loss 521.9770727539062
Epoch 1/100 : 0% | Batch 3550(2) : 5% | Loss 470.26386108398435
Epoch 1/100 : 0% | Batch 3600(2) : 5% | Loss 452.5928649902344
Epoch 1/100 : 0% | Batch 3650(2) : 5% | Loss 489.48021240234374
Epoch 1/100 : 0% | Batch 3700(2) : 5% | Loss 453.9191528320313
Epoch 1/100 : 0% | Batch 3750(2) : 5% | Loss 464.0360565185547
Epoch 1/100 : 0% | Batch 3800(2) : 5% | Loss 451.71061157226563
Epoch 1/100 : 0% | Batch 3850(2) : 5% | Loss 435.0031262207031
Epoch 1/100 : 0% | Batch 3900(2) : 6% | Loss 424.0230267333984
Epoch 1/100 : 0% | Batch 3950(2) : 6% | Loss 462.2741131591797
Epoch 1/100 : 0% | Batch 4000(2) : 6% | Loss 429.34898834228517
Epoch 1/100 : 0% | Batch 4050(2) : 6% | Loss 431.93671325683596
Epoch 1/100 : 0% | Batch 4100(2) : 6% | Loss 436.0606927490234
Epoch 1/100 : 0% | Batch 4150(2) : 6% | Loss 438.02526611328125
Epoch 1/100 : 0% | Batch 4200(2) : 6% | Loss 430.3527166748047
Epoch 1/100 : 0% | Batch 4250(2) : 6% | Loss 431.74284118652344
Epoch 1/100 : 0% | Batch 4300(2) : 6% | Loss 425.9897283935547
Epoch 1/100 : 0% | Batch 4350(2) : 6% | Loss 397.7276571655273
Epoch 1/100 : 0% | Batch 4400(2) : 6% | Loss 399.66688079833983
Epoch 1/100 : 0% | Batch 4450(2) : 6% | Loss 483.3990191650391
Epoch 1/100 : 0% | Batch 4500(2) : 6% | Loss 461.4155114746094
Epoch 1/100 : 0% | Batch 4550(2) : 7% | Loss 391.4059881591797
Epoch 1/100 : 0% | Batch 4600(2) : 7% | Loss 393.2651837158203
Epoch 1/100 : 0% | Batch 4650(2) : 7% | Loss 423.35715576171873
Epoch 1/100 : 0% | Batch 4700(2) : 7% | Loss 385.5552975463867
Epoch 1/100 : 0% | Batch 4750(2) : 7% | Loss 480.23342041015627
Epoch 1/100 : 0% | Batch 4800(2) : 7% | Loss 423.3328759765625
Epoch 1/100 : 0% | Batch 4850(2) : 7% | Loss 430.26368591308596
Epoch 1/100 : 0% | Batch 4900(2) : 7% | Loss 389.92182006835935
Epoch 1/100 : 0% | Batch 4950(2) : 7% | Loss 390.41343872070314
Epoch 1/100 : 0% | Batch 5000(2) : 7% | Loss 384.91154418945314
Epoch 1/100 : 0% | Batch 5050(2) : 7% | Loss 387.0909216308594
Epoch 1/100 : 0% | Batch 5100(2) : 7% | Loss 377.0946810913086
Epoch 1/100 : 0% | Batch 5150(2) : 7% | Loss 375.48839416503904
Epoch 1/100 : 0% | Batch 5200(2) : 8% | Loss 395.2804638671875
Epoch 1/100 : 0% | Batch 5250(2) : 8% | Loss 388.4322341918945
Epoch 1/100 : 0% | Batch 5300(2) : 8% | Loss 414.23236572265625
Epoch 1/100 : 0% | Batch 5350(2) : 8% | Loss 373.5549078369141
Epoch 1/100 : 0% | Batch 5400(2) : 8% | Loss 394.8159881591797
Epoch 1/100 : 0% | Batch 5450(2) : 8% | Loss 362.3211859130859
Epoch 1/100 : 0% | Batch 5500(2) : 8% | Loss 394.6053784179687
Epoch 1/100 : 0% | Batch 5550(2) : 8% | Loss 426.6794354248047
Epoch 1/100 : 0% | Batch 5600(2) : 8% | Loss 412.1569714355469
Epoch 1/100 : 0% | Batch 5650(2) : 8% | Loss 423.2640222167969
Epoch 1/100 : 0% | Batch 5700(2) : 8% | Loss 360.42412322998047
Epoch 1/100 : 0% | Batch 5750(2) : 8% | Loss 388.67491027832034
Epoch 1/100 : 0% | Batch 5800(2) : 8% | Loss 359.21186981201174
Epoch 1/100 : 0% | Batch 5850(2) : 9% | Loss 362.7727944946289
Epoch 1/100 : 0% | Batch 5900(2) : 9% | Loss 364.3104843139648
Epoch 1/100 : 0% | Batch 5950(2) : 9% | Loss 338.0296292114258
Epoch 1/100 : 0% | Batch 6000(2) : 9% | Loss 367.8414813232422
