Epoch 1/100 : 0% | Batch 50(2) : 0% | Loss 5468.734013671875
Epoch 1/100 : 0% | Batch 100(2) : 0% | Loss 1526.1912854003906
Epoch 1/100 : 0% | Batch 50(2) : 0% | Loss 5198.448532714844
Epoch 1/100 : 0% | Batch 100(2) : 0% | Loss 1463.4539782714844
Epoch 1/100 : 0% | Batch 150(2) : 0% | Loss 1320.5252026367189
Epoch 1/100 : 0% | Batch 50(2) : 0% | Loss 5574.639611816407
Epoch 1/100 : 0% | Batch 100(2) : 0% | Loss 1513.154375
Epoch 1/100 : 0% | Batch 150(2) : 0% | Loss 1412.0429931640624
Epoch 1/100 : 0% | Batch 200(2) : 0% | Loss 1213.5416821289064
Epoch 1/100 : 0% | Batch 50(2) : 0% | Loss 4354.489443359375
Epoch 1/100 : 0% | Batch 100(2) : 0% | Loss 1511.6067211914062
Epoch 1/100 : 0% | Batch 150(2) : 0% | Loss 1445.5493786621093
Epoch 1/100 : 0% | Batch 200(2) : 0% | Loss 1308.9495922851563
Epoch 1/100 : 0% | Batch 250(2) : 0% | Loss 1225.0571411132812
Epoch 1/100 : 0% | Batch 300(2) : 0% | Loss 1144.51705078125
Epoch 1/100 : 0% | Batch 350(2) : 0% | Loss 950.5076965332031
Epoch 1/100 : 0% | Batch 400(2) : 0% | Loss 980.6219506835937
Epoch 1/100 : 0% | Batch 450(2) : 0% | Loss 963.9740075683594
Epoch 1/100 : 0% | Batch 500(2) : 0% | Loss 931.6399401855468
Epoch 1/100 : 0% | Batch 550(2) : 0% | Loss 849.4136767578125
Epoch 1/100 : 0% | Batch 600(2) : 0% | Loss 813.8490014648437
Epoch 1/100 : 0% | Batch 650(2) : 0% | Loss 775.1332958984375
Epoch 1/100 : 0% | Batch 700(2) : 1% | Loss 743.1862915039062
Epoch 1/100 : 0% | Batch 750(2) : 1% | Loss 764.511875
Epoch 1/100 : 0% | Batch 800(2) : 1% | Loss 700.7999395751954
Epoch 1/100 : 0% | Batch 850(2) : 1% | Loss 701.6709997558594
Epoch 1/100 : 0% | Batch 900(2) : 1% | Loss 704.9564642333985
Epoch 1/100 : 0% | Batch 950(2) : 1% | Loss 656.8771844482421
Epoch 1/100 : 0% | Batch 1000(2) : 1% | Loss 700.4641528320312
Epoch 1/100 : 0% | Batch 1050(2) : 1% | Loss 686.4652691650391
Epoch 1/100 : 0% | Batch 1100(2) : 1% | Loss 656.4245611572265
Epoch 1/100 : 0% | Batch 1150(2) : 1% | Loss 664.1580651855469
Epoch 1/100 : 0% | Batch 1200(2) : 1% | Loss 676.7858477783203
Epoch 1/100 : 0% | Batch 1250(2) : 1% | Loss 635.5172491455078
Epoch 1/100 : 0% | Batch 1300(2) : 1% | Loss 601.0565399169922
